Rang,nom,suffrages,sigle,parti,elu,sexe
133,HALIMI Hysri,11787,SOC,LES SOCIALISTES,0,0
134,BRUCHEZ Thomas,11770,SOC,LES SOCIALISTES,0,0
135,KEEL Theo,11761,SOC,LES SOCIALISTES,0,0
136,BOSSHARD Pierre Yves,11714,SOC,LES SOCIALISTES,0,0
137,ZIMMERMANN Michel,11699,SOC,LES SOCIALISTES,0,0
138,LAPALUD Patrick,11540,SOC,LES SOCIALISTES,0,0
139,BENDA Benjamin,11527,SOC,LES SOCIALISTES,0,0
141,GAJARDO MUNOZ Jorge,11503,SOC,LES SOCIALISTES,0,0
142,KURTESHI Ismet,11496,SOC,LES SOCIALISTES,0,0
143,EYA NCHAMA Cruz Melchor,11483,SOC,LES SOCIALISTES,0,0
152,ORIOLO Alessandra,11054,VERT,LES VERTS,0,1
153,BAVAREL Christian,11032,VERT,LES VERTS,0,0
154,DE MATTEIS Yves,11032,VERT,LES VERTS,0,0
155,CALAME Boris,10965,VERT,LES VERTS,0,0
156,BÄNZIGER Ruth,10963,VERT,LES VERTS,0,1
157,OZTÜRK Dilara,10963,VERT,LES VERTS,0,1
158,BONNY Didier,10931,VERT,LES VERTS,0,0
159,GOMEZ Alfonso,10917,VERT,LES VERTS,0,0
160,SCHAUFELBERGER Esther,10887,VERT,LES VERTS,0,1
162,DESBIOLLES Sophie,10833,VERT,LES VERTS,0,1
163,FISCHER Fabienne,10829,VERT,LES VERTS,0,1
164,MACCHIAVELLI Marta (Marta Julia),10799,VERT,LES VERTS,0,1
165,DE ROUGEMONT Philippe,10712,VERT,LES VERTS,0,0
166,MÜLLER SONTAG Corinne,10699,VERT,LES VERTS,0,1
167,BONVIN BONFANTI Anne,10657,VERT,LES VERTS,0,1
168,QUIJANO GARCIA Maria (Maria José),10652,VERT,LES VERTS,0,1
169,TCHAMKERTEN Jolanka,10648,VERT,LES VERTS,0,1
170,NICOLET-DIT-FELIX Julien,10634,VERT,LES VERTS,0,0
171,HEBERLEIN SIMONETT Claudia,10600,VERT,LES VERTS,0,1
172,MAKOSSO William,10595,VERT,LES VERTS,0,0
173,ROGG Catharina (Olowine),10582,VERT,LES VERTS,0,1
174,BOCCARD Damien (Damien Baptiste),10578,VERT,LES VERTS,0,0
176,TINGUELY Dominique,10526,VERT,LES VERTS,0,0
177,VAN WOERDEN Wendy,10514,VERT,LES VERTS,0,1
178,NOËL Philippe,10505,VERT,LES VERTS,0,0
179,RODRIGUEZ Mario,10502,VERT,LES VERTS,0,0
180,CALAME Fabrice,10497,VERT,LES VERTS,0,0
181,AMSELLEM Benedicte (AMSELLEM-OSSIPOW),10489,VERT,LES VERTS,0,1
182,KHAMIS VANNINI Uzma,10482,VERT,LES VERTS,0,1
183,AMATO Maurice,10471,VERT,LES VERTS,0,0
184,TIGUEMOUNINE Sabine,10459,VERT,LES VERTS,0,1
185,DE MAIO Sara,10450,VERT,LES VERTS,0,1
186,BUCHER Denis,10448,VERT,LES VERTS,0,0
187,HARTMANN Esther,10443,VERT,LES VERTS,0,1
188,HAAS François,10429,VERT,LES VERTS,0,0
189,CORPATAUX Laurence,10427,VERT,LES VERTS,0,1
191,CHAUDIEU Anne,10421,VERT,LES VERTS,0,1
192,BUI Aurore,10401,VERT,LES VERTS,0,1
193,CONCHA Celtia,10335,VERT,LES VERTS,0,1
194,SCHALK Antoine,10332,VERT,LES VERTS,0,0
195,WISARD PRADO Leyma,10324,VERT,LES VERTS,0,1
196,SAA BAUD Yubitza,10291,VERT,LES VERTS,0,1
197,LATOUR Sabine,10278,VERT,LES VERTS,0,1
198,YUNUS EBENER Mariam (Maryam),10274,VERT,LES VERTS,0,1
199,DESCOMBES Isabelle,10272,VERT,LES VERTS,0,1
200,ARDIZZONE Ivan,10238,VERT,LES VERTS,0,0
201,BARCIELA VILLAR Ana,10237,VERT,LES VERTS,0,1
202,CABITZA Marina,10210,VERT,LES VERTS,0,1
203,AZZABI Omar,10188,VERT,LES VERTS,0,0
204,DUJOUX Valentin,10169,VERT,LES VERTS,0,0
205,VEIGA ARIAS Damian (VEIGA LÖFFEL),10153,VERT,LES VERTS,0,0
206,BUENZOD Christian,10151,VERT,LES VERTS,0,0
207,HERREN Yves,10114,VERT,LES VERTS,0,0
208,FREYMOND Pascal,10112,VERT,LES VERTS,0,0
209,EBENER Christophe,10096,VERT,LES VERTS,0,0
210,TALEGHANI Majid,9978,VERT,LES VERTS,0,0
211,DUPUIS Renaud,9961,VERT,LES VERTS,0,0
212,DE FELICE Nicolas,9954,VERT,LES VERTS,0,0
214,GEOFFROY Elias,9895,VERT,LES VERTS,0,0
215,DALPHIN Marc,9877,VERT,LES VERTS,0,0
216,KÜNDIG Ralph,9804,VERT,LES VERTS,0,0
228,LANCE François,8794,PDC,DÉMOCRATE-CHRÉTIEN,0,0
229,FORNI Jean-Luc,8714,PDC,DÉMOCRATE-CHRÉTIEN,0,0
231,MEISSNER REYFER Christine (Christina),8629,PDC,DÉMOCRATE-CHRÉTIEN,0,1
232,SAYEGH Souheil,8421,PDC,DÉMOCRATE-CHRÉTIEN,0,0
233,DESFAYES Sébastien,8336,PDC,DÉMOCRATE-CHRÉTIEN,0,0
234,MAGNIN Xavier,8309,PDC,DÉMOCRATE-CHRÉTIEN,0,0
235,LATHION Jean Charles,8306,PDC,DÉMOCRATE-CHRÉTIEN,0,0
236,CHAKER MANGEAT Alia,8274,PDC,DÉMOCRATE-CHRÉTIEN,0,1
237,MEYER DE STADELHOFEN Philippe,8221,PDC,DÉMOCRATE-CHRÉTIEN,0,0
238,RYS Alexandra,8213,PDC,DÉMOCRATE-CHRÉTIEN,0,1
240,ANGELOZZI Philippe,8201,PDC,DÉMOCRATE-CHRÉTIEN,0,0
242,AEBI Benjamin,8102,PDC,DÉMOCRATE-CHRÉTIEN,0,0
243,MAGNIN Yves,8091,PDC,DÉMOCRATE-CHRÉTIEN,0,0
244,GIORIA Gaëlle,8082,PDC,DÉMOCRATE-CHRÉTIEN,0,1
246,DE KALBERMATTEN Alain,8007,PDC,DÉMOCRATE-CHRÉTIEN,0,0
247,KUNZ Laurence,8000,PDC,DÉMOCRATE-CHRÉTIEN,0,1
248,CASUTT Martine,7981,PDC,DÉMOCRATE-CHRÉTIEN,0,1
249,DULEX Christophe,7954,PDC,DÉMOCRATE-CHRÉTIEN,0,0
251,PUTALLAZ Thomas,7930,PDC,DÉMOCRATE-CHRÉTIEN,0,0
252,SCHMIED Patrick,7922,PDC,DÉMOCRATE-CHRÉTIEN,0,0
253,UONG Dinh Manh,7879,PDC,DÉMOCRATE-CHRÉTIEN,0,0
254,ENGELBERTS Marie-Thérèse (ENGELBERTS-LEONE),7870,PDC,DÉMOCRATE-CHRÉTIEN,0,1
255,BOURBALA Djamel,7857,PDC,DÉMOCRATE-CHRÉTIEN,0,0
256,TOMASSI Christine,7827,PDC,DÉMOCRATE-CHRÉTIEN,0,1
257,BUGNION Jean-Michel,7815,PDC,DÉMOCRATE-CHRÉTIEN,0,0
259,FOURNIER Nicolas,7764,PDC,DÉMOCRATE-CHRÉTIEN,0,0
260,WEHRLI Patrick,7755,PDC,DÉMOCRATE-CHRÉTIEN,0,0
261,VÖLKI Robert,7750,PDC,DÉMOCRATE-CHRÉTIEN,0,0
263,PROGIN Christian,7738,PDC,DÉMOCRATE-CHRÉTIEN,0,0
264,TREMBLET Laurent,7736,PDC,DÉMOCRATE-CHRÉTIEN,0,0
265,GIANNASI Anthony,7719,PDC,DÉMOCRATE-CHRÉTIEN,0,0
268,DELUERMOZ Cosima,7696,PDC,DÉMOCRATE-CHRÉTIEN,0,1
270,SQUILLACI Nicola,7678,PDC,DÉMOCRATE-CHRÉTIEN,0,0
271,FISCHER Daniel,7666,PDC,DÉMOCRATE-CHRÉTIEN,0,0
272,GACHE Hélène,7662,PDC,DÉMOCRATE-CHRÉTIEN,0,1
274,MERLE Emmanuelle,7659,PDC,DÉMOCRATE-CHRÉTIEN,0,1
275,SOPI Dardan,7631,PDC,DÉMOCRATE-CHRÉTIEN,0,0
276,LEHNER Laurent,7623,PDC,DÉMOCRATE-CHRÉTIEN,0,0
277,DUPONT Thérèse,7617,PDC,DÉMOCRATE-CHRÉTIEN,0,1
278,GASHI Sami,7607,PDC,DÉMOCRATE-CHRÉTIEN,0,0
279,DECREY Christophe,7590,PDC,DÉMOCRATE-CHRÉTIEN,0,0
