Rang,nom,suffrages,sigle,parti,elu,sexe
476,PAREL Loïc,6012,UDC,UDC,0,0
477,QUEFFÉLEC Philippe,6007,UDC,UDC,0,0
478,KNOLL Tatiana,6005,UDC,UDC,0,1
479,ROMANENS Mathieu,6003,UDC,UDC,0,0
480,RIME Alexandre,5982,UDC,UDC,0,0
481,LYON Didier,5981,UDC,UDC,0,0
482,STARK Riccardo (Richard),5980,UDC,UDC,0,0
483,LÉGUILLON Angèle,5977,UDC,UDC,0,1
484,SCHWEIZER Adriana,5967,UDC,UDC,0,1
485,ROSSEL Pascal,5964,EAG,ENSEMBLE À GAUCHE,0,0
486,DOURNOW David,5956,UDC,UDC,0,0
487,DUTRUIT André,5946,UDC,UDC,0,0
488,ALTENBACH Pascal,5941,UDC,UDC,0,0
489,BONTOUX Caroline,5940,UDC,UDC,0,1
490,NOETZLIN Simon,5911,EAG,ENSEMBLE À GAUCHE,0,0
491,CHAUSSIVERT Patrice,5868,UDC,UDC,0,0
492,GALLAND Eduardo,5864,EAG,ENSEMBLE À GAUCHE,0,0
493,MAMIN François,5860,EAG,ENSEMBLE À GAUCHE,0,0
494,PRANDO Stéphane,5853,UDC,UDC,0,0
495,MOUNLA Alexandre,5845,UDC,UDC,0,0
496,HEDDI Leila,5800,UDC,UDC,0,1
497,GOMES DE ALMEIDA José (Manuel),5786,UDC,UDC,0,0
498,STAUFFER Eric,5757,GEMA,GENÈVE EN MARCHE,0,0
499,BORER Maria Da Conceicao,5752,UDC,UDC,0,1
500,KHACHATRYAN Gohar,5714,UDC,UDC,0,1
501,DESYATKINA DZODZIEV Viktoriya,5613,UDC,UDC,0,1
502,AKABA El Mostafa,5555,UDC,UDC,0,0
503,ZACHARIAS Ronald,5242,GEMA,GENÈVE EN MARCHE,0,0
504,HONEGGER HELLER Manuela,4706,FEM,LALISTE-FEMMES 2018,0,1
505,YOL Diana,4178,FEM,LALISTE-FEMMES 2018,0,1
506,MÜLLER Fabienne (ABRAMOVICH),4105,FEM,LALISTE-FEMMES 2018,0,1
507,SPÜHLER Pascal,4075,GEMA,GENÈVE EN MARCHE,0,0
508,RANDEGGER Alice,4043,FEM,LALISTE-FEMMES 2018,0,1
509,OZDEMIR Elcim (ÖZDEMIR Elçim),3965,FEM,LALISTE-FEMMES 2018,0,1
510,BOSELLI GAUTHEY Monica,3944,FEM,LALISTE-FEMMES 2018,0,1
511,RICCIARDI WERLEN Jacqueline,3941,FEM,LALISTE-FEMMES 2018,0,1
512,BORCARD Anne,3934,FEM,LALISTE-FEMMES 2018,0,1
513,LANGER Valérie,3910,FEM,LALISTE-FEMMES 2018,0,1
514,JAUCH Caroline,3883,FEM,LALISTE-FEMMES 2018,0,1
515,GRANGE Marie-Florence,3864,FEM,LALISTE-FEMMES 2018,0,1
516,THOMIAS LEDUC Diana,3793,FEM,LALISTE-FEMMES 2018,0,1
517,OCHARAN ROBLES RAPAZ Eva (OCHARAN ROBLES),3691,FEM,LALISTE-FEMMES 2018,0,1
518,MAZZONI Nikita,3659,FEM,LALISTE-FEMMES 2018,0,1
519,WALTHER Thierry,3632,GEMA,GENÈVE EN MARCHE,0,0
520,DEPRAETERE Graciela (DEPRAETERE-MANULIS),3622,FEM,LALISTE-FEMMES 2018,0,1
521,SARAIVA MEDEIROS Carlos,3620,GEMA,GENÈVE EN MARCHE,0,0
522,ROSSIER FAHRION Cerise,3597,FEM,LALISTE-FEMMES 2018,0,1
523,DA CRUZ PEDRO Anna (DA CRUZ PERRET-GENTIL),3561,FEM,LALISTE-FEMMES 2018,0,1
524,NOBS Cyril,3548,GEMA,GENÈVE EN MARCHE,0,0
525,LAVRADOR DIAS Claudia (DIAS),3508,FEM,LALISTE-FEMMES 2018,0,1
526,GAETANINO Marco,3467,GEMA,GENÈVE EN MARCHE,0,0
527,NOËL Daniel,3431,GEMA,GENÈVE EN MARCHE,0,0
528,LE JEUNE GIACOBBI Cristina,3414,GEMA,GENÈVE EN MARCHE,0,1
529,PICOT Jérôme,3414,GEMA,GENÈVE EN MARCHE,0,0
530,L'HUILLIER Eric,3404,GEMA,GENÈVE EN MARCHE,0,0
531,MAYORAL EDO Corinne (MAYORAL),3368,FEM,LALISTE-FEMMES 2018,0,1
532,BECK Victoria,3367,GEMA,GENÈVE EN MARCHE,0,1
533,FUSCO Gerardo,3352,GEMA,GENÈVE EN MARCHE,0,0
534,FREY Priscilla,3347,GEMA,GENÈVE EN MARCHE,0,1
535,FABRE Jean,3337,GEMA,GENÈVE EN MARCHE,0,0
536,LOEILLET-ROUZIER Anne (Marie),3327,GEMA,GENÈVE EN MARCHE,0,1
537,GAMBERONI Dominique,3306,GEMA,GENÈVE EN MARCHE,0,0
538,COHEN Olivier,3301,GEMA,GENÈVE EN MARCHE,0,0
539,RUCHONNET Jean-François,3300,GEMA,GENÈVE EN MARCHE,0,0
540,LOTA Raphaëlle,3285,GEMA,GENÈVE EN MARCHE,0,1
541,MAIGRE Maria Inès,3279,GEMA,GENÈVE EN MARCHE,0,1
542,GALETTO Frédéric,3273,GEMA,GENÈVE EN MARCHE,0,0
543,GARGANTINI Yves,3273,GEMA,GENÈVE EN MARCHE,0,0
544,BALLESTEROS Stefan,3269,GEMA,GENÈVE EN MARCHE,0,0
545,THOMSEN Elena (MILAKOVA),3259,GEMA,GENÈVE EN MARCHE,0,1
546,PARANÁ JÚNIOR Valério,3257,GEMA,GENÈVE EN MARCHE,0,0
547,RIME Fatma (Fatima),3249,GEMA,GENÈVE EN MARCHE,0,1
548,SANTI Michel,3243,GEMA,GENÈVE EN MARCHE,0,0
549,HALIMI Arsim,3237,GEMA,GENÈVE EN MARCHE,0,0
550,ANTOINE Jean-Marc,3228,GEMA,GENÈVE EN MARCHE,0,0
551,LEVY Yossef (Hai),3227,GEMA,GENÈVE EN MARCHE,0,0
552,NGUYEN Van Minh,3226,GEMA,GENÈVE EN MARCHE,0,0
553,BRUGUIER Michel,3220,GEMA,GENÈVE EN MARCHE,0,0
554,MARTEL Frédéric,3202,GEMA,GENÈVE EN MARCHE,0,0
555,BERLEMONT Alain,3201,GEMA,GENÈVE EN MARCHE,0,0
556,SOLTEIRO Jorge,3178,GEMA,GENÈVE EN MARCHE,0,0
557,BISSOLI Marion (LE BACQUER),3174,GEMA,GENÈVE EN MARCHE,0,1
558,BRKIC Vitomir,3172,GEMA,GENÈVE EN MARCHE,0,0
559,HÜSSY COPPEX Viviana Ximena Anghela,3162,GEMA,GENÈVE EN MARCHE,0,1
560,FARINHA Horacio,3153,GEMA,GENÈVE EN MARCHE,0,0
561,FONTANA Jérôme,2656,VERL,VERT'LIBÉRAUX,0,0
562,ORSINI Magali,2632,LPG,LA LISTE POUR GENÈVE,0,1
563,GAUTROT Maria Magdalena (Marielena),2478,VERL,VERT'LIBÉRAUX,0,1
564,PIGUET Frédéric (Paul),2462,VERL,VERT'LIBÉRAUX,0,0
565,PEYRAUD Alexandre,2450,VERL,VERT'LIBÉRAUX,0,0
566,HÄUSERMANN Elisabeth,2250,VERL,VERT'LIBÉRAUX,0,1
567,GAUTHIER Pierre,2145,LPG,LA LISTE POUR GENÈVE,0,0
568,WUARIN Marc,2005,VERL,VERT'LIBÉRAUX,0,0
569,RITTER Sven,1986,VERL,VERT'LIBÉRAUX,0,0
570,MEYLAN Jean Michel,1980,VERL,VERT'LIBÉRAUX,0,0
571,HAMOIR Fursy,1976,VERL,VERT'LIBÉRAUX,0,0
572,PREISIG Robert,1967,VERL,VERT'LIBÉRAUX,0,0
573,JEANMONOD Christian,1907,VERL,VERT'LIBÉRAUX,0,0
574,CORI Claudio,1821,VERL,VERT'LIBÉRAUX,0,0
575,VIDONNE Thierry,1809,PBD,PBD GENÈVE,0,0
576,WITTWER Christoph,1771,VERL,VERT'LIBÉRAUX,0,0
577,BESOMI Alessandro (Alex),1763,VERL,VERT'LIBÉRAUX,0,0
578,FRAMMERY Chloe,1758,LEE,ÉGALITÉ ET ÉQUITÉ,0,1
579,BUSTAMANTE HERNANDEZ Eric,1681,VERL,VERT'LIBÉRAUX,0,0
580,DUVNJAK Sanja,1678,LEE,ÉGALITÉ ET ÉQUITÉ,0,1
581,SAMIM FIROUZSALARI Atefeh,1676,VERL,VERT'LIBÉRAUX,0,1
582,SCHUCANI Grégoire,1464,LEE,ÉGALITÉ ET ÉQUITÉ,0,0
583,MONSHENGWO Jessica,1431,LEE,ÉGALITÉ ET ÉQUITÉ,0,1
584,REGAMEY Murielle,1420,LEE,ÉGALITÉ ET ÉQUITÉ,0,1
585,ROSSELLAT Blaise,1404,LEE,ÉGALITÉ ET ÉQUITÉ,0,0
586,FRAUDEAU Delphine,1347,LEE,ÉGALITÉ ET ÉQUITÉ,0,1
587,LOPEZ Julien,1341,LEE,ÉGALITÉ ET ÉQUITÉ,0,0
588,SCHELLER Gérard,1325,LEE,ÉGALITÉ ET ÉQUITÉ,0,0
589,GOLAY Séverine,1321,LEE,ÉGALITÉ ET ÉQUITÉ,0,1
590,FOUDA AMOUGOU Charlotte,1295,LEE,ÉGALITÉ ET ÉQUITÉ,0,1
591,JORDAN Claude,1262,LEE,ÉGALITÉ ET ÉQUITÉ,0,0
592,ARMAND Catherine,1240,LPG,LA LISTE POUR GENÈVE,0,1
593,ABESSE Hayet,1176,LEE,ÉGALITÉ ET ÉQUITÉ,0,1
594,BULT Christoph,1159,LEE,ÉGALITÉ ET ÉQUITÉ,0,0
595,DACHROUNE Samir,1153,LEE,ÉGALITÉ ET ÉQUITÉ,0,0
596,PERRIN Brigitte,1124,LPG,LA LISTE POUR GENÈVE,0,1
597,GUEX Stéphane (dit Guex-Pierre),1082,LPG,LA LISTE POUR GENÈVE,0,0
598,LEITNER André,1006,PBD,PBD GENÈVE,0,0
599,HUMBERSET Corinne,989,LPG,LA LISTE POUR GENÈVE,0,1
600,RUCKTERSTUHL Jean-Claude,988,LPG,LA LISTE POUR GENÈVE,0,0
601,MEYNET Danielle,973,LPG,LA LISTE POUR GENÈVE,0,1
602,VIDONNE Valérie,965,PBD,PBD GENÈVE,0,1
603,VIDONNE David,931,PBD,PBD GENÈVE,0,0
604,LONGO Katrin,905,LPG,LA LISTE POUR GENÈVE,0,1
605,GIROD Nicolas,903,LPG,LA LISTE POUR GENÈVE,0,0
606,FLAKS Joël,902,LPG,LA LISTE POUR GENÈVE,0,0
607,DELACQUIS Cédric,891,PBD,PBD GENÈVE,0,0
608,MEYNET Leon,875,LPG,LA LISTE POUR GENÈVE,0,0
609,ZAGATO Sophie,873,PBD,PBD GENÈVE,0,1
610,GOUDAL Renaud,817,LPG,LA LISTE POUR GENÈVE,0,0
611,KÜDERLI BERKANE Nicole,816,LPG,LA LISTE POUR GENÈVE,0,1
612,ZIMMERMANN Olivier,791,LPG,LA LISTE POUR GENÈVE,0,0
613,CHATELAIN Dimitri,775,LPG,LA LISTE POUR GENÈVE,0,0
614,THURNHERR Sylvain,696,PBD,PBD GENÈVE,0,0
615,FADER Annette (Yasuka),695,PBD,PBD GENÈVE,0,1
616,KUNZI Nicolas,675,PBD,PBD GENÈVE,0,0
617,TURNOWSKY Serge,675,LPG,LA LISTE POUR GENÈVE,0,0
618,THURNHERR Laurent,645,PBD,PBD GENÈVE,0,0
619,KUGEL Mark,643,PBD,PBD GENÈVE,0,0
620,KUNZI Philippe,635,PBD,PBD GENÈVE,0,0
621,BEUREUX Johan,605,PBD,PBD GENÈVE,0,0
622,BEUREUX Silvain,586,PBD,PBD GENÈVE,0,0
623,FERRAND Guy,554,PBD,PBD GENÈVE,0,0
