elu,sigle,parti,ordre,suffrages,id,liste_id,nom,photoUrl,sexe
0,PDC,DÉMOCRATE-CHRÉTIEN,70,7347,10340,105,STEINBERG CANDRIAN Melinda,STEINBERG_CANDRIAN_Melinda.jpg,1
0,PDC,DÉMOCRATE-CHRÉTIEN,71,7336,10316,105,MAKKI Michela (Michèle),MAKKI_Michela.jpg,1
0,PDC,DÉMOCRATE-CHRÉTIEN,72,7328,10324,105,OUEDRAOGO Moustapha,OUEDRAOGO_Moustapha.jpg,0
0,PDC,DÉMOCRATE-CHRÉTIEN,73,7319,10334,105,SCANDURRA Alessandro,SCANDURRA_Alessandro.jpg,0
1,MCG,MCG,9,7303,10493,111,MAGNIN Danièle,MAGNIN_Daniele.jpg,1
1,MCG,MCG,10,7259,10496,111,FLURY Christian,FLURY_Christian.jpg,0
1,MCG,MCG,11,7244,10503,111,DIMIER Patrick,DIMIER_Patrick.jpg,0
0,EAG,ENSEMBLE À GAUCHE,10,7242,10055,101,BAUD Olivier,BAUD_Olivier.jpg,0
0,PDC,DÉMOCRATE-CHRÉTIEN,74,7242,10325,105,PERRET Vincent,PERRET_Vincent.jpg,0
0,MCG,MCG,12,7228,10495,111,SAPIN Françoise,SAPIN_Francoise.jpg,1
0,EAG,ENSEMBLE À GAUCHE,11,7206,10058,101,BAYENET Pierre,BAYENET_Pierre.jpg,0
0,PDC,DÉMOCRATE-CHRÉTIEN,75,7185,10619,105,KHATTABI HASSAR Houda,KHATTABI_HASSAR_Houda.jpg,1
0,MCG,MCG,13,7182,10498,111,PYTHON André,PYTHON_Andre.jpg,0
0,MCG,MCG,14,7151,10494,111,VALENTIN Francisco,VALENTIN_Francisco.jpg,0
0,MCG,MCG,15,7143,10500,111,GANDER Florian,GANDER_Florian.jpg,0
0,MCG,MCG,16,7142,10497,111,GOLAY Sandra,GOLAY_Sandra.jpg,1
0,MCG,MCG,17,7090,10502,111,SONDEREGGER Gabriela,SONDEREGGER_Gabriela.jpg,1
0,EAG,ENSEMBLE À GAUCHE,12,7086,10025,101,NYFFELER BATOU Françoise,NYFFELER_BATOU_Francoise.jpg,1
0,MCG,MCG,18,7086,10534,111,LAURENT Pierre-Alain,LAURENT_Pierre-Alain.jpg,0
0,MCG,MCG,19,7085,10501,111,DECORVET Christian,DECORVET_Christian.jpg,0
0,MCG,MCG,20,7084,10515,111,CHAPOU Frédéric,CHAPOU_Frederic.jpg,0
0,EAG,ENSEMBLE À GAUCHE,13,7056,10038,101,MARTENOT Aude,MARTENOT_Aude.jpg,1
0,PDC,DÉMOCRATE-CHRÉTIEN,76,7045,10620,105,LUPO Paolo,LUPO_Paolo.jpg,0
0,MCG,MCG,21,7039,10533,111,ANGELOZ Claude,ANGELOZ_Claude.jpg,0
0,MCG,MCG,21,7039,10492,111,DEROUETTE Jean-Paul,DEROUETTE_Jean-Paul.jpg,0
0,MCG,MCG,23,7031,10505,111,SAAS Alexandra,SAAS_Alexandra.jpg,1
0,EAG,ENSEMBLE À GAUCHE,14,7023,10031,101,PERADOTTO Julie,PERADOTTO_Julie.jpg,1
0,MCG,MCG,24,7022,10506,111,ZOGG Thomas,ZOGG_Thomas.jpg,0
0,MCG,MCG,25,7020,10489,111,LE JONCOUR-BRÜLHART Céline,LE_JONCOUR-BRULHART_Celine.jpg,1
0,MCG,MCG,25,7020,10499,111,RAPPAZ Henry,RAPPAZ_Henry.jpg,0
0,MCG,MCG,27,7013,10520,111,AMBROSIO François,AMBROSIO_Francois.jpg,0
1,UDC,UDC,4,7008,10356,106,IVANOV Christo,IVANOV_Christo.jpg,0
0,MCG,MCG,28,7000,10614,111,TEIXEIRA Albano,TEIXEIRA_Albano.jpg,0
0,MCG,MCG,29,6996,10556,111,ZBINDEN Jean-Luc,ZBINDEN_Jean-Luc.jpg,0
0,MCG,MCG,30,6981,10517,111,LEISI Laurent,LEISI_Laurent.jpg,0
0,MCG,MCG,31,6980,10514,111,REICHENBACH Kevin,REICHENBACH_Kevin.jpg,0
0,MCG,MCG,32,6971,10545,111,MARGUET Tex,MARGUET_Tex.jpg,0
0,MCG,MCG,33,6954,10535,111,JAHIJA Burim,JAHIJA_Burim.jpg,0
0,EAG,ENSEMBLE À GAUCHE,15,6952,10036,101,SCHNEBLI Tobias (Tobia),SCHNEBLI_Tobias.jpg,0
0,MCG,MCG,34,6944,10538,111,CHAPPAZ Marc,CHAPPAZ_Marc.jpg,0
0,EAG,ENSEMBLE À GAUCHE,16,6941,10022,101,ECUYER Hélène,ECUYER_Helene.jpg,1
0,MCG,MCG,35,6938,10548,111,MUDRY Yves,MUDRY_Yves.jpg,0
0,MCG,MCG,36,6931,10516,111,MADANI Amar,MADANI_Amar.jpg,0
0,MCG,MCG,37,6930,10504,111,FONTAINE-VIVE-CURTAZ Jean,FONTAINE-VIVE-CURTAZ_Jean.jpg,0
0,MCG,MCG,38,6929,10507,111,PASCARELLA Louise,PASCARELLA_Louise.jpg,1
0,MCG,MCG,39,6922,10511,111,ANGELO Antonio,ANGELO_Antonio.jpg,0
0,EAG,ENSEMBLE À GAUCHE,17,6920,10035,101,PEREZ Maria (Lou),PEREZ_Maria.jpg,1
0,MCG,MCG,40,6915,10576,111,STEINER Christian,STEINER_Christian.jpg,0
0,EAG,ENSEMBLE À GAUCHE,18,6914,10028,101,OVETT BONDI Davinia,OVETT_BONDI_Davinia.jpg,1
0,MCG,MCG,41,6897,10547,111,SHLYAPINA Elena,SHLYAPINA_Elena.jpg,1
0,MCG,MCG,42,6890,10532,111,MÉNÉTREY Yasmine,MENETREY_Yasmine.jpg,1
0,MCG,MCG,43,6888,10568,111,MÜLLER Olivier,MULLER_Olivier.jpg,0
0,MCG,MCG,44,6886,10536,111,DI SALVO Giuseppe,DI_SALVO_Giuseppe.jpg,0
0,MCG,MCG,45,6882,10518,111,OUDIN Rémy,OUDIN_Remy.jpg,0
0,MCG,MCG,46,6871,10521,111,FRAUCHIGER Roger,FRAUCHIGER_Roger.jpg,0
0,MCG,MCG,47,6863,10527,111,SOTOMAYOR André,SOTOMAYOR_Andre.jpg,0
0,MCG,MCG,48,6862,10563,111,BESSE Muriel,BESSE_Muriel.jpg,1
0,MCG,MCG,49,6860,10523,111,ROULIN Claude,ROULIN_Claude.jpg,0
0,MCG,MCG,50,6858,10512,111,CATTIN Jean-Pascal,CATTIN_Jean-Pascal.jpg,0
0,MCG,MCG,51,6848,10572,111,MARTIGNONI Alain,MARTIGNONI_Alain.jpg,0
0,MCG,MCG,52,6844,10554,111,GARCIA Javier,GARCIA_Javier.jpg,0
0,MCG,MCG,53,6841,10525,111,NIETO Alexandre,NIETO_Alexandre.jpg,0
