,101,102,103,104,105,106,107,108,109,113,Participation,111,112,No_GE,110,Commune_y,No,max,parti_max,Commune,parti_max_2013
35,5.06,17.41,12.84,24.33,12.3,9.97,2.93,1.03,3.17,0.94,43.45,7.65,1.44,39,0.94,Puplinge,6636,24.33,PLR,Puplinge,PLR
36,6.27,20.77,10.26,34.9,11.2,8.08,1.01,0.04,1.47,0.86,54.73,3.09,0.23,40,1.83,Russin,6637,34.9,PLR,Russin,PLR
37,4.24,15.48,11.48,29.97,10.7,8.64,2.13,0.3,2.16,0.49,45.75,9.13,4.87,41,0.42,Satigny,6638,29.97,PLR,Satigny,PLR
38,3.78,13.29,9.59,35.07,14.61,6.79,0.82,0.49,2.4,1.62,45.83,7.81,2.87,42,0.86,Soral,6639,35.07,PLR,Soral,PLR
39,5.14,10.52,12.61,30.82,10.51,8.95,2.62,0.87,5.08,1.48,41.09,8.99,1.98,43,0.45,Thônex,6640,30.82,PLR,Thônex,PLR
40,4.41,14.58,11.25,37.14,12.33,5.5,3.4,0.38,1.4,0.87,46.57,5.57,2.34,44,0.85,Troinex,6641,37.14,PLR,Troinex,PLR
41,3.58,9.32,3.44,54.52,6.83,7.69,3.38,0.09,5.36,0.52,48.1,3.87,0.89,45,0.52,Vandoeuvres,6642,54.52,PLR,Vandoeuvres,PLR
42,6.78,11.55,22.84,13.44,9.71,7.29,2.99,0.61,5.84,0.6,35.31,17.22,0.74,46,0.39,Vernier,6643,22.84,SOC,Vernier,MCG
43,5.23,17.05,13.05,24.38,12.28,8.06,2.69,0.41,4.96,0.64,34.71,9.69,1.1,47,0.47,Versoix,6644,24.38,PLR,Versoix,PLR
44,3.71,11.05,9.36,37.61,15.33,7.17,2.82,0.27,3.09,0.37,44.4,6.44,2.51,48,0.27,Veyrier,6645,37.61,PLR,Veyrier,PLR
