,r1_Bulletins valables,Commune,No_GE,r1_participation,r1_20001,r1_20002,r1_20003,r1_20004,r1_20005,r1_20006,r1_20007,r1_20008,r1_20009,r1_20010,r1_20011,r1_20012,r1_20013,r1_20014,r1_20015,r1_20016,r1_20017,r1_20018,r1_20019,r1_20020,r1_20021,r1_20022,r1_20023,r1_20024,r1_20025,r1_20026,r1_20027,r1_20028,r1_20029,r1_20030,r1_20031,Commune_check_x,No_x,r1_20001_per100,r1_20002_per100,r1_20003_per100,r1_20004_per100,r1_20005_per100,r1_20006_per100,r1_20007_per100,r1_20008_per100,r1_20009_per100,r1_20010_per100,r1_20011_per100,r1_20012_per100,r1_20013_per100,r1_20014_per100,r1_20015_per100,r1_20016_per100,r1_20017_per100,r1_20018_per100,r1_20019_per100,r1_20020_per100,r1_20021_per100,r1_20022_per100,r1_20023_per100,r1_20024_per100,r1_20025_per100,r1_20026_per100,r1_20027_per100,r1_20028_per100,r1_20029_per100,r1_20030_per100,r1_20031_per100,Commune_check_y,No_y,Commune_check,No,r2_Bulletins valables,r2_Commune,r2_No_GE,r2_participation,r2_20025,r2_20009,r2_20019,r2_20015,r2_20013,r2_20014,r2_20024,r2_20006,r2_20003,r2_20004,r2_20002,r2_20025_per100,r2_20009_per100,r2_20019_per100,r2_20015_per100,r2_20013_per100,r2_20014_per100,r2_20024_per100,r2_20006_per100,r2_20003_per100,r2_20004_per100,r2_20002_per100
0,337,Aire-la-Ville,1,47.59,21,26,112,98,78,120,43,56,195,50,40,185,186,132,120,94,11,12,82,31,30,49,25,89,10,9,8,15,7,23,17,Aire-la-Ville,6601,6.231454005934718,7.71513353115727,33.23442136498516,29.080118694362017,23.14540059347181,35.60830860534125,12.759643916913946,16.61721068249258,57.86350148367953,14.836795252225517,11.869436201780417,54.89614243323442,55.19287833827893,39.16913946587537,35.60830860534125,27.89317507418398,3.2640949554896146,3.5608308605341246,24.33234421364985,9.198813056379821,8.902077151335313,14.540059347181009,7.418397626112759,26.409495548961427,2.967359050445104,2.6706231454005933,2.3738872403560833,4.451038575667656,2.0771513353115725,6.824925816023739,5.044510385756676,Aire-la-Ville,6601,Aire-la-Ville,6601,336,Aire-la-Ville,1,47.08,27,209,97,185,224,164,137,150,142,142,55,8.035714285714286,62.202380952380956,28.869047619047617,55.05952380952381,66.66666666666666,48.80952380952381,40.773809523809526,44.642857142857146,42.26190476190476,42.26190476190476,16.36904761904762
1,651,Anières,2,50.27,37,56,147,156,127,232,91,79,278,36,36,446,383,261,320,276,17,31,151,69,45,66,77,83,25,21,14,83,20,47,59,Anières,6602,5.683563748079877,8.60215053763441,22.58064516129032,23.963133640552993,19.508448540706606,35.63748079877112,13.978494623655912,12.135176651305683,42.703533026113675,5.529953917050691,5.529953917050691,68.50998463901689,58.83256528417819,40.09216589861751,49.155145929339476,42.3963133640553,2.61136712749616,4.761904761904762,23.195084485407065,10.599078341013826,6.912442396313365,10.138248847926267,11.827956989247312,12.749615975422426,3.840245775729647,3.225806451612903,2.1505376344086025,12.749615975422426,3.0721966205837172,7.2196620583717355,9.062980030721967,Anières,6602,Anières,6602,645,Anières,2,49.36,47,358,208,432,484,352,146,264,200,227,98,7.286821705426356,55.50387596899225,32.248062015503876,66.97674418604652,75.03875968992249,54.57364341085271,22.635658914728683,40.93023255813954,31.007751937984494,35.1937984496124,15.193798449612403
2,392,Avully,3,37.0,52,70,178,150,117,183,78,72,184,42,32,176,161,100,97,57,16,37,75,33,25,73,40,98,17,13,5,18,8,22,22,Avully,6603,13.26530612244898,17.857142857142858,45.40816326530612,38.265306122448976,29.846938775510207,46.683673469387756,19.897959183673468,18.367346938775512,46.93877551020408,10.714285714285714,8.16326530612245,44.89795918367347,41.07142857142857,25.510204081632654,24.744897959183675,14.540816326530612,4.081632653061225,9.438775510204081,19.132653061224488,8.418367346938775,6.377551020408164,18.622448979591837,10.204081632653061,25.0,4.336734693877551,3.316326530612245,1.2755102040816326,4.591836734693878,2.0408163265306123,5.612244897959184,5.612244897959184,Avully,6603,Avully,6603,409,Avully,3,37.62,38,242,105,171,238,141,173,232,239,216,128,9.290953545232274,59.168704156479215,25.67237163814181,41.80929095354523,58.19070904645477,34.474327628361856,42.298288508557455,56.723716381418086,58.43520782396088,52.81173594132029,31.295843520782395
3,464,Avusy,4,47.1,24,53,240,153,97,208,78,79,227,37,28,259,267,139,149,82,16,23,86,30,26,48,39,104,10,21,18,27,7,35,38,Avusy,6604,5.172413793103448,11.422413793103448,51.724137931034484,32.974137931034484,20.905172413793103,44.827586206896555,16.810344827586206,17.025862068965516,48.922413793103445,7.974137931034483,6.0344827586206895,55.81896551724138,57.543103448275865,29.95689655172414,32.112068965517246,17.67241379310345,3.4482758620689653,4.956896551724138,18.53448275862069,6.4655172413793105,5.603448275862069,10.344827586206897,8.405172413793103,22.413793103448278,2.1551724137931036,4.525862068965517,3.8793103448275863,5.818965517241379,1.5086206896551724,7.543103448275862,8.189655172413794,Avusy,6604,Avusy,6604,472,Avusy,4,48.04,33,287,103,242,316,185,182,249,309,227,90,6.991525423728813,60.80508474576271,21.822033898305087,51.271186440677965,66.94915254237289,39.19491525423729,38.559322033898304,52.7542372881356,65.46610169491525,48.09322033898305,19.06779661016949
4,728,Bardonnex,5,53.9,55,99,226,191,173,316,119,97,349,56,42,434,406,368,277,201,17,48,129,42,37,86,56,56,19,27,16,19,12,37,36,Bardonnex,6605,7.554945054945055,13.598901098901099,31.043956043956044,26.236263736263737,23.763736263736263,43.40659340659341,16.346153846153847,13.324175824175825,47.93956043956044,7.6923076923076925,5.769230769230769,59.61538461538461,55.769230769230774,50.54945054945055,38.04945054945055,27.609890109890113,2.3351648351648353,6.593406593406594,17.71978021978022,5.769230769230769,5.082417582417582,11.813186813186812,7.6923076923076925,7.6923076923076925,2.60989010989011,3.708791208791209,2.197802197802198,2.60989010989011,1.6483516483516485,5.082417582417582,4.945054945054945,Bardonnex,6605,Bardonnex,6605,714,Bardonnex,5,52.02,39,394,155,396,464,419,139,339,297,258,146,5.46218487394958,55.182072829131656,21.708683473389357,55.46218487394958,64.9859943977591,58.68347338935575,19.46778711484594,47.47899159663865,41.596638655462186,36.134453781512605,20.448179271708682
5,603,Bellevue,6,39.35,40,67,184,180,153,250,128,122,293,77,61,339,243,179,211,171,21,43,146,74,66,89,46,53,17,31,17,15,5,63,61,Bellevue,6606,6.633499170812604,11.11111111111111,30.514096185737976,29.850746268656714,25.37313432835821,41.459369817578775,21.22719734660033,20.23217247097844,48.59038142620232,12.769485903814262,10.11608623548922,56.21890547263681,40.298507462686565,29.684908789386398,34.991708126036485,28.35820895522388,3.482587064676617,7.131011608623548,24.212271973466002,12.271973466003317,10.945273631840797,14.759535655058043,7.628524046434494,8.7893864013267,2.8192371475953566,5.140961857379768,2.8192371475953566,2.4875621890547266,0.8291873963515755,10.44776119402985,10.11608623548922,Bellevue,6606,Bellevue,6606,533,Bellevue,6,34.53,52,304,144,287,302,224,110,281,255,253,109,9.75609756097561,57.035647279549714,27.01688555347092,53.84615384615385,56.66041275797373,42.026266416510325,20.637898686679172,52.72045028142589,47.84240150093809,47.467166979362105,20.45028142589118
6,2690,Bernex,7,44.27,213,349,1029,848,682,1107,472,390,1428,247,203,1475,1711,752,903,587,88,153,560,243,182,346,219,420,73,107,58,101,37,142,154,Bernex,6607,7.918215613382899,12.973977695167285,38.25278810408922,31.524163568773233,25.353159851301115,41.152416356877325,17.54646840148699,14.49814126394052,53.08550185873606,9.182156133828997,7.5464684014869885,54.832713754646846,63.60594795539033,27.95539033457249,33.56877323420074,21.821561338289964,3.2713754646840147,5.687732342007435,20.817843866171003,9.033457249070633,6.765799256505576,12.862453531598513,8.141263940520446,15.613382899628252,2.7137546468401488,3.977695167286245,2.1561338289962824,3.7546468401486988,1.3754646840148699,5.278810408921933,5.724907063197026,Bernex,6607,Bernex,6607,2747,Bernex,7,44.33,187,1730,720,1411,2001,1051,748,1382,1402,1264,606,6.807426283218056,62.97779395704405,26.21041135784492,51.36512559155443,72.84310156534401,38.259919912631965,27.229705132872223,50.309428467419,51.03749544958136,46.01383327266109,22.060429559519477
7,4184,Carouge,8,39.05,610,899,1571,1539,1409,1950,993,844,1838,382,364,1973,1615,1088,1163,788,168,835,691,296,233,516,314,308,122,172,134,105,247,303,299,Carouge,6608,14.579349904397706,21.486615678776293,37.54780114722753,36.782982791586996,33.67590822179732,46.606118546845124,23.733269598470365,20.172084130019122,43.929254302103246,9.13001912045889,8.69980879541109,47.155831739961755,38.59942638623327,26.003824091778206,27.796367112810707,18.833652007648183,4.015296367112811,19.95697896749522,16.51529636711281,7.0745697896749515,5.568833652007648,12.332695984703633,7.504780114722753,7.361376673040152,2.9158699808795414,4.1108986615678775,3.202676864244742,2.5095602294455066,5.903441682600382,7.241873804971319,7.146271510516253,Carouge,6608,Carouge,6608,4140,Carouge,8,37.86,434,2245,894,1919,2166,1493,804,2437,2218,2145,1452,10.483091787439614,54.227053140096615,21.594202898550723,46.35265700483092,52.31884057971015,36.06280193236715,19.420289855072465,58.86473429951691,53.57487922705314,51.81159420289855,35.07246376811594
8,291,Cartigny,9,48.43,30,54,115,100,90,136,56,63,141,25,18,168,158,87,92,77,11,25,58,23,21,32,20,56,6,8,6,12,6,19,18,Cartigny,6609,10.309278350515463,18.556701030927837,39.51890034364261,34.36426116838488,30.927835051546392,46.735395189003434,19.243986254295535,21.649484536082475,48.45360824742268,8.59106529209622,6.185567010309279,57.73195876288659,54.29553264604811,29.896907216494846,31.615120274914087,26.46048109965636,3.7800687285223367,8.59106529209622,19.93127147766323,7.903780068728522,7.216494845360824,10.996563573883162,6.872852233676976,19.243986254295535,2.0618556701030926,2.7491408934707904,2.0618556701030926,4.123711340206185,2.0618556701030926,6.529209621993128,6.185567010309279,Cartigny,6609,Cartigny,6609,300,Cartigny,9,49.35,16,176,74,149,200,119,96,164,132,142,65,5.333333333333334,58.666666666666664,24.666666666666668,49.666666666666664,66.66666666666666,39.666666666666664,32.0,54.666666666666664,44.0,47.333333333333336,21.666666666666668
9,150,Céligny,10,37.41,12,15,37,40,33,67,22,25,62,6,5,100,76,60,58,54,4,10,31,13,11,8,6,20,5,3,2,9,2,8,6,Céligny,6610,8.0,10.0,24.666666666666668,26.666666666666668,22.0,44.666666666666664,14.666666666666666,16.666666666666664,41.333333333333336,4.0,3.3333333333333335,66.66666666666666,50.66666666666667,40.0,38.666666666666664,36.0,2.666666666666667,6.666666666666667,20.666666666666668,8.666666666666668,7.333333333333333,5.333333333333334,4.0,13.333333333333334,3.3333333333333335,2.0,1.3333333333333335,6.0,1.3333333333333335,5.333333333333334,4.0,Céligny,6610,Céligny,6610,155,Céligny,10,38.5,10,72,41,77,82,66,34,91,61,63,42,6.451612903225806,46.45161290322581,26.451612903225808,49.67741935483871,52.903225806451616,42.58064516129032,21.935483870967744,58.70967741935483,39.35483870967742,40.64516129032258,27.09677419354839
